,CHROM,enh_start,enh_end,Transcript,Gene,Gene_ID,genomic element,H3K27ac-expression correlation p-values,relation
1,chr10,13889936,13892989,ENST00000357447,FRMD4A,ENSG00000151474,intronic enhancer,0.021,containing
2,chr10,13889936,13892989,ENST00000358621,FRMD4A,ENSG00000151474,intronic enhancer,0.021,closest
3,chr10,73075662,73078212,ENST00000263556,P4HA1,ENSG00000122884,intronic enhancer,0.077,containing
4,chr10,73075662,73078212,ENST00000307116,P4HA1,ENSG00000122884,intronic enhancer,0.077,containing;closest
5,chr10,73075662,73078212,ENST00000373008,P4HA1,ENSG00000122884,intronic enhancer,0.068,containing;closest
6,chr10,73075662,73078212,ENST00000394890,P4HA1,ENSG00000122884,intronic enhancer,0.087,containing
7,chr10,73075662,73078212,ENST00000440381,P4HA1,ENSG00000122884,intronic enhancer,0.077,containing
11,chr17,19316053,19319291,ENST00000395618,EPN2,ENSG00000072134,intronic enhancer,0.131,containing
12,chr17,19316053,19319291,ENST00000395620,EPN2,ENSG00000072134,intronic enhancer,0.105,containing
19,chr7,75054189,75056747,ENST00000610322,WBSCR16,ENSG00000274523,intronic enhancer,0.039,containing;closest
20,chr7,75054189,75056747,ENST00000614461,WBSCR16,ENSG00000274523,intronic enhancer,0.036,containing
21,chr7,75054189,75056747,ENST00000618035,WBSCR16,ENSG00000274523,intronic enhancer,0.06,containing
56,chr17,19726168,19729859,ENST00000350657,SLC47A2,ENSG00000180638,intergenic enhancer,0.004,closest
57,chr17,19726168,19729859,ENST00000433844,SLC47A2,ENSG00000180638,intergenic enhancer,0.14,closest
58,chr20,1876725,1878851,ENST00000400068,SIRPA,ENSG00000198053,intergenic enhancer,0.004,closest
59,chr19,10225122,10229168,ENST00000588952,DNMT1,ENSG00000130816,intronic enhancer,0.008,containing
60,chr19,10225122,10229168,ENST00000592342,DNMT1,ENSG00000130816,intronic enhancer,0.008,containing
61,chr19,10225122,10229168,ENST00000590320,S1PR2,ENSG00000267534,intronic enhancer,0.01,containing;closest
66,chr4,175770156,175773332,ENST00000393658,GPM6A,ENSG00000150625,intronic enhancer,0.085,containing
69,chr4,175770156,175773332,ENST00000505304,GPM6A,ENSG00000150625,intronic enhancer,0.083,containing
70,chr4,175770156,175773332,ENST00000505375,GPM6A,ENSG00000150625,intronic enhancer,0.07,containing
73,chr4,175770156,175773332,ENST00000507520,GPM6A,ENSG00000150625,intronic enhancer,0.131,containing;closest
74,chr4,175770156,175773332,ENST00000507540,GPM6A,ENSG00000150625,intronic enhancer,0.093,containing
78,chr4,175770156,175773332,ENST00000512897,GPM6A,ENSG00000150625,intronic enhancer,0.107,containing
79,chr4,175770156,175773332,ENST00000513365,GPM6A,ENSG00000150625,intronic enhancer,0.07,containing
80,chr4,175770156,175773332,ENST00000513667,GPM6A,ENSG00000150625,intronic enhancer,0.137,containing
